display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.07017] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.07018] Score is : 769
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.07018] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.07019] Score is : 769
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.07019] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.07020] Score is : 769
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.07021] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.07021] Score is : 769
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.07022] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.07023] Score is : 769
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.07023] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.07024] Score is : 769
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.07024] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.07025] Score is : 769
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.07026] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.07026] Score is : 769
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.07027] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.07027] Score is : 769
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.07028] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.07029] Score is : 769
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.07029] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.07030] Score is : 769
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.07030] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.07031] Score is : 769
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.07032] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
